date,ticker,sentiment,risk,action,action_value,price,portfolio_value
2024-01-25,HDFCLIFE,0.0,0.5,HOLD,-0.042049687,575.447021484375,1005887.3103248291
2024-01-25,TATASTEEL,0.0,0.5,HOLD,-0.037827276,128.12060546875,1005887.3103248291
2024-01-29,KOTAKBANK,0.0,0.5,BUY,0.1302421,363.7614440917969,995249.9256812744
2024-01-29,EICHERMOT,0.5,0.5,BUY,0.125357,3582.391357421875,995249.9256812744
2024-01-29,TITAN,0.0,0.25,BUY,0.1210468,3842.475341796875,995249.9256812744
2024-01-29,TATASTEEL,0.5,0.25,HOLD,-0.049605075,129.3179931640625,995249.9256812744
2024-01-29,DIVISLAB,0.0,0.5,HOLD,-0.04652099,3532.73291015625,995249.9256812744
2024-01-29,BAJAJ-AUTO,0.0,0.5,HOLD,-0.04455898,7302.85986328125,995249.9256812744
2024-01-30,EICHERMOT,0.0,0.5,BUY,0.1355576,3617.248046875,1008871.5531226806
2024-01-30,COALINDIA,0.0,0.5,BUY,0.12241675,349.8973693847656,1008871.5531226806
2024-01-30,TITAN,0.0,0.5,BUY,0.11968152,3712.393798828125,1008871.5531226806
2024-01-30,BAJAJ-AUTO,0.5,0.375,SELL,-0.0632316,7319.88671875,1008871.5531226806
2024-01-30,TATASTEEL,0.3333333333333333,0.4166666666666667,SELL,-0.056642782,129.0306396484375,1008871.5531226806
2024-01-30,HDFCLIFE,0.0,0.375,HOLD,-0.021481393,571.4716186523438,1008871.5531226806
2024-01-31,SBIN,0.0,0.5,BUY,0.1455751,617.5363159179688,1004624.0163174438
2024-01-31,TITAN,0.0,0.5,BUY,0.14261526,3674.4326171875,1004624.0163174438
2024-01-31,KOTAKBANK,-1.0,0.5,BUY,0.13580605,364.2303771972656,1004624.0163174438
2024-01-31,BAJAJ-AUTO,0.0,0.5,SELL,-0.058719356,7417.74072265625,1004624.0163174438
2024-01-31,DIVISLAB,0.5,0.25,HOLD,-0.033287987,3631.67236328125,1004624.0163174438
2024-01-31,TATASTEEL,0.0,0.5,HOLD,-0.033075225,130.22802734375,1004624.0163174438
2024-02-01,SBIN,0.5,0.5,BUY,0.14294565,624.4299926757812,1010871.1953458252
2024-02-01,EICHERMOT,1.0,0.25,BUY,0.12703916,3840.30224609375,1010871.1953458252
2024-02-01,TITAN,-1.0,0.5,BUY,0.1261077,3604.770751953125,1010871.1953458252
2024-02-01,BAJAJ-AUTO,0.0,0.5,SELL,-0.06978387,7406.32568359375,1010871.1953458252
2024-02-01,TATASTEEL,0.0,0.5,SELL,-0.057991035,129.1264190673828,1010871.1953458252
2024-02-01,MARUTI,0.0,0.5,HOLD,-0.04583226,10425.5712890625,1010871.1953458252
2024-02-02,EICHERMOT,0.25,0.375,BUY,0.1391571,3735.19482421875,1004077.4780911865
2024-02-02,SBIN,-0.5,0.625,BUY,0.1259897,626.3582763671875,1004077.4780911865
2024-02-02,TITAN,1.0,0.5,BUY,0.12132614,3589.814697265625,1004077.4780911865
2024-02-02,BAJAJ-AUTO,1.0,0.25,SELL,-0.06189028,7486.08935546875,1004077.4780911865
2024-02-02,TATASTEEL,0.0,0.5,SELL,-0.05306538,132.86227416992188,1004077.4780911865
2024-02-02,SUNPHARMA,0.0,0.25,HOLD,-0.029596552,1382.1976318359375,1004077.4780911865
2024-02-05,EICHERMOT,0.0,0.5,BUY,0.15444978,3798.07373046875,1011525.005038208
2024-02-05,KOTAKBANK,-1.0,0.5,BUY,0.12884517,360.8580017089844,1011525.005038208
2024-02-05,TITAN,0.0,0.5,BUY,0.12538156,3529.84228515625,1011525.005038208
2024-02-05,TATASTEEL,1.0,0.25,SELL,-0.055506196,135.59231567382812,1011525.005038208
2024-02-05,BAJAJ-AUTO,0.0,0.5,HOLD,-0.04632686,7408.744140625,1011525.005038208
2024-02-05,SUNPHARMA,0.0,0.5,HOLD,-0.04005625,1428.200927734375,1011525.005038208
2024-02-06,KOTAKBANK,0.0,0.5,BUY,0.14185849,356.5975646972656,1015838.7803983154
2024-02-06,EICHERMOT,0.0,0.5,BUY,0.12369448,3851.433349609375,1015838.7803983154
2024-02-06,SBIN,0.0,0.375,BUY,0.118858464,626.9367065429688,1015838.7803983154
